url,title,menu_title,description
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_pdMS_TO_TICKS_if_configTICK_RATE_HZ_is_greater_than_1000_f5cfe34ceaj.html,pdMS_TO_TICKS() :if configTICK_RATE_HZ is greater than 1000 - FreeRTOS,,"pdMS_TO_TICKS() :if configTICK_RATE_HZ is greater than 1000Posted by saadsaeed on September 25, 2018How to use pdMSTOTICKS() if config rates is greater than 1000? pdMS_TO_TICKS() :if configTICK_RATE_HZ is greater than 1000Posted by rtel on September 25, 2018Basically, you can’t with the default implementation of that macro. However, if you write your own version of the macro …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Help_on_proper_usage_of_semaphores_3746c484j.html,Help on proper usage of semaphores - FreeRTOS,,"Help on proper usage of semaphoresPosted by billnoyes on September 10, 2018I am using FreeRTOS 8.0.1 an on Atmel SAMD21 (ASF 3.31.0) and have a problem with a Counting Semaphore TAKE (with 500ms timeout) never returning due to some priority issue. I am using several UARTS and pass packets between them (think traffic cop) as …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_send_struct_between_tasks_cb7fb6d3j.html,send struct between tasks - FreeRTOS,,"send struct between tasksPosted by simob47 on September 20, 2018Hey, I need to send a structure between the two tasks below. How do I recover the contents of my structure in the second task ? Mtree it’s a tree. help please ` xQueueHandle GlobaleQueuehandle2 = 0; GlobaleQueuehandle2 = xQueueCreate(10, sizeof(mt_t)); typedef struct merkletree { uint32t …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_libopecm3._The_very_simple_task_hardfault._db70c37cj.html,FreeRTOS + libopecm3. The very simple task hardfault. - FreeRTOS,,"FreeRTOS + libopecm3. The very simple task hardfault.Posted by nameofuser1 on September 18, 2018I have stucked with integrating FreeRTOS into my libopencm3 project for stm32f205. Finally I reduced the code to the minimal and it still goes to a hardfault. Here is my main code. Just a task and UART. No interrupts, no queues. Just …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_How_to_use_FreeRTOS_Scheduler_with_SMC_trustZone_ARMV8-M_M33_a211b2a9j.html,How to use FreeRTOS Scheduler with SMC trustZone ARMV8-M M33 ? - FreeRTOS,,"How to use FreeRTOS Scheduler with SMC trustZone ARMV8-M M33 ?Posted by simob47 on September 17, 2018I have a set of tasks in FreeRTOS and I need to put some of them in the secure world (Trustzone). Is there a communication to be established between the SMC trustZone side and the scheduler FreeRTOS side ? …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Difference_between_linker_scripts_HEAP_SIZE_and_BSPs_TOTAL_HEAP_SIZE_c7da9e7a03j.html,"Difference between linker script's ""HEAP SIZE"" and BSP's ""TOTAL_HEAP_SIZE"" - FreeRTOS",,"Difference between linker script’s “HEAP SIZE” and BSP’s “TOTAL_HEAP_SIZE”Posted by almomo1 on September 26, 2018Hi, I’m new in the forum because I’m currently developing my fist FreeRTOS application; it runs on a Xilinx’s Microblaze over a Kintex FPGA and a custom board. SDK (eclipse environment for Xilinx) allows to change some kernel parameters in the …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Process_to_port_FreeRTOS_6e2b2804aaj.html,Process to port FreeRTOS - FreeRTOS,,"Process to port FreeRTOSPosted by junambi on September 25, 2018Hi, Would like to port FreeRTOS from one controller to another. Both of them are Cortex R5 based controllers. We have tried with the Demo project from Xilinx, are there any specific things that have to be taken care of during the porting. Please comment. Thank …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Fast_Task_State_Detection_-_Just_if_running_detection_94bfb25cj.html,Fast Task State Detection - Just 'if running' detection - FreeRTOS,,"Fast Task State Detection – Just ‘if running’ detectionPosted by westmorelandeng on September 19, 2018Hello All, I need to be able to detect (will be assembly as I have to put this into the tick ISR) the task status – what will make this ‘fast’ is that I only need to know if: if( pxTCB …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_on_ADuCM3029_causing_BusFault_e20b9252j.html,FreeRTOS on ADuCM3029 causing BusFault - FreeRTOS,,"FreeRTOS on ADuCM3029 causing BusFaultPosted by rtosuser on September 11, 2018Hi all ! I’ve ported FreeRTOS v10 to the ADUCM3029 using Keil v5. I can flash a LED and run a clock task and have now moved to the project I’m targeting which is uploading data to the cloud with an ESP8266 wifi chip. I …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_SVC_call_in_vPortStartFirstTask_causes_Hardfault_e1dc51edabj.html,SVC call in vPortStartFirstTask causes Hardfault - FreeRTOS,,"SVC call in vPortStartFirstTask causes HardfaultPosted by amiller2 on September 25, 2018I’m running a FreeRTOS test application that I’ve written for a Cortex-M3 device. I’m having an issue where, on starting the scheduler, the SVC instruction at the end of vPortStartFirstTask causes a Hardfault exception. I have a breakpoint in vPortSVCHandler and I can see …"
